"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremen,687.3,689.3,690.2,691.1,692,692.6,693.2,693.6,694,694.3,694.4,694.5,694.6,694.8,695.1,695.5,696,696.5,697.1,697.7,698.4,699.1,699.8,700.6,701.4,702.3,703.2,704.1,705.1,706,707,707.9,708.7,709.6,710.4,711.3,712.1,713,713.9,714.9,715.8,716.9,717.9,719,720.1,721.3,722.4,723.6,724.7
Hamburg,1879.6,1888.3,1895.2,1901.9,1908.3,1914.3,1920,1925.3,1930.3,1935,1939.2,1943,1946.9,1950.8,1954.7,1958.7,1962.8,1966.8,1970.9,1975,1979.1,1983.1,1987,1990.9,1994.7,1998.3,2001.7,2005,2008.2,2011,2013.6,2015.8,2017.8,2019.6,2021.1,2022.5,2023.7,2024.8,2025.8,2026.7,2027.7,2028.6,2029.5,2030.4,2031.3,2032.2,2033,2033.8,2034.5
Hessen,6379.5,6401.4,6416.1,6430,6442.5,6453.3,6462.5,6470.2,6476.3,6480.7,6483.5,6484.5,6485.3,6485.9,6486.2,6486.2,6485.8,6485.1,6484,6482.5,6480.6,6478.3,6475.7,6472.7,6469.5,6465.9,6462,6457.8,6453.4,6448.6,6443.6,6438.3,6433,6427.6,6422.3,6417.2,6412.4,6408,6404.2,6400.9,6398.2,6396.1,6394.5,6393.5,6392.8,6392.4,6392.3,6392.2,6392.1
Mecklenburg-Vorpommern,1622.4,1621.9,1619.8,1617.3,1614.5,1611.1,1607.2,1603,1598.3,1593.4,1588.1,1582.5,1576.9,1571.1,1565.3,1559.4,1553.3,1547,1540.5,1533.8,1526.9,1519.7,1512.3,1504.7,1496.9,1488.9,1480.8,1472.6,1464.4,1456.2,1448.2,1440.4,1432.8,1425.5,1418.5,1411.9,1405.6,1399.7,1394.2,1389,1384.2,1379.7,1375.5,1371.5,1367.7,1364.1,1360.6,1357.2,1353.8
Niedersachsen,8145.4,8175.1,8194.3,8212.1,8228,8241.4,8252.4,8261.2,8267.7,8271.9,8273.8,8273.4,8272.7,8271.5,8269.9,8267.8,8265.1,8261.8,8257.7,8253,8247.7,8241.7,8235.2,8228.3,8221,8213.4,8205.5,8197.3,8189.1,8180.7,8172.2,8163.9,8155.8,8148,8140.8,8134.3,8128.7,8124,8120.5,8118.1,8117,8117,8118.1,8120.3,8123.2,8126.9,8131,8135.5,8140.2
Nordrhein-Westfalen,18080.7,18106.4,18118.5,18130.1,18139.8,18146.3,18149.8,18150.3,18147.7,18141.9,18132.4,18119,18104.6,18089.2,18072.8,18055.2,18036.3,18015.9,17994.1,17970.8,17946.1,17920,17892.7,17864.5,17835.3,17805.3,17774.7,17743.5,17711.9,17679.9,17647.7,17615.5,17583.6,17552.2,17521.8,17492.5,17464.7,17438.7,17414.6,17392.5,17372.5,17354.6,17338.5,17324,17310.9,17298.8,17287.4,17276.3,17265.3
Rheinland-Pfalz,4160,4174.1,4183.7,4192.7,4200.9,4207.9,4213.7,4218.3,4221.7,4223.8,4224.6,4224,4222.9,4221.3,4219.1,4216.3,4212.8,4208.8,4204.2,4199,4193.3,4187.2,4180.7,4174,4167.1,4160,4152.8,4145.6,4138.3,4131.1,4124,4117,4110.3,4103.9,4097.9,4092.3,4087.2,4082.7,4078.8,4075.5,4072.7,4070.5,4068.8,4067.4,4066.3,4065.5,4064.8,4064.2,4063.6
Saarland,989.3,987.7,985.3,982.9,980.5,977.9,975.2,972.3,969.3,966.2,962.8,959.3,955.8,952.2,948.6,945,941.3,937.6,933.9,930,926.2,922.3,918.4,914.5,910.6,906.8,903,899.3,895.6,892.1,888.7,885.3,882.2,879.2,876.3,873.6,871.1,868.9,866.8,864.9,863.2,861.6,860.2,858.9,857.8,856.7,855.6,854.7,853.7
Sachsen,4065.1,4057.2,4046.2,4035.1,4023.6,4011.2,3998.1,3984.6,3970.7,3956.6,3942.3,3927.8,3913.7,3900.2,3887.1,3874.4,3862,3849.9,3837.9,3826,3814.3,3802.6,3790.9,3779.2,3767.5,3755.9,3744.1,3732.3,3720.5,3708.7,3697.1,3685.6,3674.2,3663.2,3652.4,3642.1,3632.2,3622.8,3614,3605.7,3597.9,3590.7,3583.9,3577.5,3571.4,3565.6,3560,3554.5,3549.1
Sachsen-Anhalt,2172.1,2160.2,2146.9,2133.6,2120.2,2106.4,2092.4,2078.3,2064,2049.8,2035.5,2021.3,2007.4,1993.8,1980.6,1967.6,1954.8,1942.3,1929.8,1917.5,1905.3,1893.2,1881.2,1869.4,1857.7,1846.1,1834.6,1823.4,1812.3,1801.4,1790.7,1780.4,1770.4,1760.7,1751.4,1742.6,1734.2,1726.3,1718.8,1711.9,1705.4,1699.3,1693.7,1688.4,1683.4,1678.7,1674.2,1669.9,1665.8
